"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 18, 2022","69.2177","67.7910","69.2177","67.3816","-","2.10%"
"Jan 17, 2022","67.7910","65.9603","67.7910","65.9603","-","2.78%"
"Jan 16, 2022","65.9603","65.1827","65.9603","64.8292","-","1.19%"
"Jan 15, 2022","65.1827","67.1179","67.3311","65.1827","-","-2.88%"
"Jan 14, 2022","67.1179","69.8266","69.8266","67.0203","-","-3.88%"
"Jan 13, 2022","69.8266","73.8256","73.9697","69.7872","-","-5.42%"
"Jan 12, 2022","73.8256","77.7343","77.9660","73.8256","-","-5.03%"
"Jan 11, 2022","77.7343","76.7577","78.5518","76.7577","-","1.27%"
"Jan 10, 2022","76.7577","75.4997","78.6354","75.4997","-","1.67%"
"Jan 09, 2022","75.4997","74.8762","75.4997","74.3856","-","0.83%"
"Jan 08, 2022","74.8762","76.6271","76.7640","73.6182","-","-2.28%"
"Jan 07, 2022","76.6271","75.5712","77.3148","75.5497","-","1.40%"
"Jan 06, 2022","75.5712","78.6600","78.6600","75.5424","-","-3.93%"
"Jan 05, 2022","78.6600","74.2772","78.6600","73.8521","-","5.90%"
"Jan 04, 2022","74.2772","74.2507","74.4966","73.6666","-","0.04%"
"Jan 03, 2022","74.2507","74.8621","75.4345","73.9177","-","-0.82%"
"Jan 02, 2022","74.8621","73.9534","74.8621","73.2223","-","1.23%"
"Jan 01, 2022","73.9534","78.5773","78.5773","73.8904","-","-5.88%"
"Dec 31, 2021","78.5773","83.6497","84.2559","78.1917","-","-6.06%"
"Dec 30, 2021","83.6497","83.2783","84.1316","81.5406","-","0.45%"
"Dec 29, 2021","83.2783","81.9361","83.2783","81.1408","-","1.64%"
"Dec 28, 2021","81.9361","85.4648","85.4648","81.9361","-","-4.13%"
"Dec 27, 2021","85.4648","83.3174","85.4648","82.1391","-","2.58%"
"Dec 26, 2021","83.3174","83.9839","84.6232","82.3707","-","-0.79%"
"Dec 25, 2021","83.9839","86.3596","86.4838","83.1525","-","-2.75%"
"Dec 24, 2021","86.3596","86.9144","86.9144","82.1078","-","-0.64%"
"Dec 23, 2021","86.9144","89.0496","89.0496","86.7034","-","-2.40%"
"Dec 22, 2021","89.0496","91.0278","91.7609","89.0496","-","-2.17%"
"Dec 21, 2021","91.0278","92.2793","92.2907","90.5584","-","-1.36%"
"Dec 20, 2021","92.2793","92.1421","93.5124","92.1421","-","0.15%"
"Dec 19, 2021","92.1421","91.6250","92.1421","90.3059","-","0.56%"
"Dec 18, 2021","91.6250","90.8870","91.7705","90.0049","-","0.81%"
"Dec 17, 2021","90.8870","92.0055","92.0719","90.7180","-","-1.22%"
"Dec 16, 2021","92.0055","96.6610","96.6610","91.7353","-","-4.82%"
"Dec 15, 2021","96.6610","98.3480","98.3480","96.6610","-","-1.72%"
"Dec 14, 2021","98.3480","97.6820","98.5356","96.3402","-","0.68%"
"Dec 13, 2021","97.6820","99.0416","99.2803","97.6361","-","-1.37%"
"Dec 12, 2021","99.0416","96.1133","99.0416","95.4901","-","3.05%"
"Dec 11, 2021","96.1133","96.7701","97.3556","96.1133","-","-0.68%"
"Dec 10, 2021","96.7701","96.8859","96.8859","96.3503","-","-0.12%"
"Dec 09, 2021","96.8859","94.4080","97.1571","94.3587","-","2.62%"
"Dec 08, 2021","94.4080","93.4522","94.9450","92.8963","-","1.02%"
"Dec 07, 2021","93.4522","94.8110","94.8953","93.4522","-","-1.43%"
"Dec 06, 2021","94.8110","96.7778","96.7919","94.7121","-","-2.03%"
"Dec 05, 2021","96.7778","93.6872","96.9848","93.4477","-","3.30%"
"Dec 04, 2021","93.6872","91.8809","96.5045","91.8809","-","1.97%"
"Dec 03, 2021","91.8809","92.2813","92.4908","89.1020","-","-0.43%"
"Dec 02, 2021","92.2813","91.3354","92.4501","91.3354","-","1.04%"
"Dec 01, 2021","91.3354","92.2519","92.3234","90.5595","-","-0.99%"
"Nov 30, 2021","92.2519","90.1097","92.8728","90.1097","-","2.38%"
"Nov 29, 2021","90.1097","92.4670","92.6005","89.7912","-","-2.55%"
"Nov 28, 2021","92.4670","90.8839","92.6152","89.7809","-","1.74%"
"Nov 27, 2021","90.8839","92.4546","92.4546","90.3840","-","-1.70%"
"Nov 26, 2021","92.4546","93.7920","94.8070","92.3039","-","-1.43%"
"Nov 25, 2021","93.7920","97.0597","97.0597","93.5514","-","-3.37%"
"Nov 24, 2021","97.0597","96.7036","97.2465","96.4290","-","0.37%"
"Nov 23, 2021","96.7036","96.2400","96.7036","94.1706","-","0.48%"
"Nov 22, 2021","96.2400","92.6561","96.2400","92.3898","-","3.87%"
"Nov 21, 2021","92.6561","92.7450","92.8258","91.2915","-","-0.10%"
"Nov 20, 2021","92.7450","93.1350","93.1399","92.3496","-","-0.42%"
"Nov 19, 2021","93.1350","95.4881","98.2653","93.1350","-","-2.46%"
"Nov 18, 2021","95.4881","95.5678","96.8814","95.0431","-","-0.08%"
"Nov 17, 2021","95.5678","94.3373","95.5678","93.5220","-","1.30%"
"Nov 16, 2021","94.3373","90.8929","95.2072","90.8929","-","3.79%"
"Nov 15, 2021","90.8929","91.8779","92.6383","90.6147","-","-1.07%"
"Nov 14, 2021","91.8779","92.7076","93.4778","91.8779","-","-0.89%"
"Nov 13, 2021","92.7076","94.4196","94.4196","92.1682","-","-1.81%"
"Nov 12, 2021","94.4196","91.1132","94.4196","91.0553","-","3.63%"
"Nov 11, 2021","91.1132","92.0513","92.0908","90.5460","-","-1.02%"
"Nov 10, 2021","92.0513","91.1568","92.1677","90.5397","-","0.98%"
"Nov 09, 2021","91.1568","93.7401","93.7401","90.9487","-","-2.76%"
"Nov 08, 2021","93.7401","92.1787","93.7401","92.0561","-","1.69%"
"Nov 07, 2021","92.1787","93.3101","93.3449","92.1787","-","-1.21%"
"Nov 06, 2021","93.3101","91.3696","93.3101","91.1124","-","2.12%"
"Nov 05, 2021","91.3696","92.4131","92.4131","90.7196","-","-1.13%"
"Nov 04, 2021","92.4131","93.4550","93.8653","92.2010","-","-1.11%"
"Nov 03, 2021","93.4550","94.7677","95.0738","92.9585","-","-1.39%"
"Nov 02, 2021","94.7677","92.9144","94.7725","92.7607","-","1.99%"
"Nov 01, 2021","92.9144","94.1733","94.1733","92.9144","-","-1.34%"
"Oct 31, 2021","94.1733","93.3286","94.3332","93.2953","-","0.91%"
"Oct 30, 2021","93.3286","93.6499","93.6499","92.7585","-","-0.34%"
"Oct 29, 2021","93.6499","94.7656","95.2331","91.0238","-","-1.18%"
"Oct 28, 2021","94.7656","93.6725","94.7656","92.4330","-","1.17%"
"Oct 27, 2021","93.6725","91.4682","94.0811","91.4682","-","2.41%"
"Oct 26, 2021","91.4682","90.7418","91.4682","88.5157","-","0.80%"
"Oct 25, 2021","90.7418","93.7640","93.9982","90.7058","-","-3.22%"
"Oct 24, 2021","93.7640","91.3902","93.7640","90.9722","-","2.60%"
"Oct 23, 2021","91.3902","91.0919","91.4271","89.9149","-","0.33%"
"Oct 22, 2021","91.0919","96.2044","96.2450","91.0003","-","-5.31%"
"Oct 21, 2021","96.2044","98.2661","98.2661","96.2044","-","-2.10%"
"Oct 20, 2021","98.2661","95.0357","98.2661","95.0357","-","3.40%"
"Oct 19, 2021","95.0357","94.1606","95.8714","94.1235","-","0.93%"
"Oct 18, 2021","94.1606","94.1606","94.1606","94.1606","-","3.49%"
"Oct 17, 2021","90.9894","90.9894","90.9894","90.9894","-","3.61%"
"Oct 16, 2021","87.8162","87.8162","87.8162","87.8162","-","-6.76%"
"Oct 15, 2021","94.1820","94.1820","94.1820","94.1820","-","-4.27%"
"Oct 14, 2021","98.3841","98.3841","98.3841","98.3841","-","2.70%"
"Oct 13, 2021","95.7939","95.7939","95.7939","95.7939","-","1.29%"
"Oct 12, 2021","94.5751","94.5751","94.5751","94.5751","-","3.41%"
"Oct 11, 2021","91.4522","91.4522","91.4522","91.4522","-","0.77%"
"Oct 10, 2021","90.7525","90.7525","90.7525","90.7525","-","1.35%"
"Oct 09, 2021","89.5417","89.5417","89.5417","89.5417","-","-0.94%"
"Oct 08, 2021","90.3897","90.3897","90.3897","90.3897","-","-0.27%"
"Oct 07, 2021","90.6366","90.6366","90.6366","90.6366","-","-1.89%"
"Oct 06, 2021","92.3804","92.3804","92.3804","92.3804","-","-0.53%"
"Oct 05, 2021","92.8684","92.8684","92.8684","92.8684","-","2.99%"
"Oct 04, 2021","90.1717","90.1717","90.1717","90.1717","-","3.24%"
"Oct 03, 2021","87.3408","87.3408","87.3408","87.3408","-","1.16%"
"Oct 02, 2021","86.3403","86.3403","86.3403","86.3403","-","-3.01%"
"Oct 01, 2021","89.0207","89.0207","89.0207","89.0207","-","-4.57%"
"Sep 30, 2021","93.2836","93.2836","93.2836","93.2836","-","-0.50%"
"Sep 29, 2021","93.7562","93.7562","93.7562","93.7562","-","-0.26%"
"Sep 28, 2021","94.0019","94.0019","94.0019","94.0019","-","2.78%"
"Sep 27, 2021","91.4585","91.4585","91.4585","91.4585","-","2.88%"
"Sep 26, 2021","88.8945","88.8945","88.8945","88.8945","-","0.53%"
"Sep 25, 2021","88.4235","88.4235","88.4235","88.4235","-","-1.64%"
"Sep 24, 2021","89.8998","89.8998","89.8998","89.8998","-","1.92%"
"Sep 23, 2021","88.2051","88.2051","88.2051","88.2051","-","-5.39%"
"Sep 22, 2021","93.2299","93.2299","93.2299","93.2299","-","-2.24%"
"Sep 21, 2021","95.3672","95.3672","95.3672","95.3672","-","3.16%"
"Sep 20, 2021","92.4503","92.4503","92.4503","92.4503","-","5.84%"
"Sep 19, 2021","87.3529","87.3529","87.3529","87.3529","-","-0.21%"
"Sep 18, 2021","87.5401","87.5401","87.5401","87.5401","-","0.46%"
"Sep 17, 2021","87.1383","87.1383","87.1383","87.1383","-","-3.02%"
"Sep 16, 2021","89.8523","89.8523","89.8523","89.8523","-","-4.23%"
"Sep 15, 2021","93.8186","93.8186","93.8186","93.8186","-","-0.92%"
"Sep 14, 2021","94.6928","94.6928","94.6928","94.6928","-","-0.58%"
"Sep 13, 2021","95.2412","95.2412","95.2412","95.2412","-","1.40%"
"Sep 12, 2021","93.9262","93.9262","93.9262","93.9262","-","0.43%"
"Sep 11, 2021","93.5198","93.5198","93.5198","93.5198","-","-0.57%"
"Sep 10, 2021","94.0526","94.0526","94.0526","94.0526","-","-1.84%"
"Sep 09, 2021","95.8158","95.8158","95.8158","95.8158","-","-1.70%"
"Sep 08, 2021","97.4768","97.4768","97.4768","97.4768","-","-2.10%"
"Sep 07, 2021","99.5711","99.5711","99.5711","99.5711","-","3.21%"
"Sep 06, 2021","96.4750","96.4750","96.4750","96.4750","-","-0.70%"
"Sep 05, 2021","97.1538","97.1538","97.1538","97.1538","-","1.49%"
"Sep 04, 2021","95.7288","95.7288","95.7288","95.7288","-","-0.60%"
"Sep 03, 2021","96.3082","96.3082","96.3082","96.3082","-","-3.27%"
"Sep 02, 2021","99.5590","99.5590","99.5590","99.5590","-","1.79%"
"Sep 01, 2021","97.8054","97.8054","97.8054","97.8054","-","2.22%"
"Aug 31, 2021","95.6826","95.6826","95.6826","95.6826","-","2.00%"
"Aug 30, 2021","93.8028","93.8028","93.8028","93.8028","-","0.82%"
"Aug 29, 2021","93.0439","93.0439","93.0439","93.0439","-","-0.04%"
"Aug 28, 2021","93.0845","93.0845","93.0845","93.0845","-","-1.91%"
"Aug 27, 2021","94.9014","94.9014","94.9014","94.9014","-","-1.87%"
"Aug 26, 2021","96.7136","96.7136","96.7136","96.7136","-","-0.15%"
"Aug 25, 2021","96.8554","96.8554","96.8554","96.8554","-","-0.60%"
"Aug 24, 2021","97.4417","97.4417","97.4417","97.4417","-","-2.54%"
"Aug 23, 2021","99.9850","99.9850","99.9850","99.9850","-","2.16%"
"Aug 22, 2021","97.8753","97.8753","97.8753","97.8753","-","-0.71%"
"Aug 21, 2021","98.5709","98.5709","98.5709","98.5709","-","-0.43%"
"Aug 20, 2021","98.9999","98.9999","98.9999","98.9999","-","-1.28%"
"Aug 19, 2021","100.2797","100.2797","100.2797","100.2797","-","-0.76%"
"Aug 18, 2021","101.0468","101.0468","101.0468","101.0468","-","-0.70%"
"Aug 17, 2021","101.7615","101.7615","101.7615","101.7615","-","-1.56%"
"Aug 16, 2021","103.3789","103.3789","103.3789","103.3789","-","0.04%"
"Aug 15, 2021","103.3326","103.3326","103.3326","103.3326","-","-0.17%"
"Aug 14, 2021","103.5115","103.5115","103.5115","103.5115","-","0.57%"
"Aug 13, 2021","102.9255","102.9255","102.9255","102.9255","-","-1.48%"
"Aug 12, 2021","104.4690","104.4690","104.4690","104.4690","-","-4.09%"
"Aug 11, 2021","108.9244","108.9244","108.9244","108.9244","-","-3.22%"
"Aug 10, 2021","112.5527","112.5527","112.5527","112.5527","-","1.78%"
"Aug 09, 2021","110.5816","110.5816","110.5816","110.5816","-","7.03%"
"Aug 08, 2021","103.3186","103.3186","103.3186","103.3186","-","1.26%"
"Aug 07, 2021","102.0294","102.0294","102.0294","102.0294","-","2.66%"
"Aug 06, 2021","99.3835","99.3835","99.3835","99.3835","-","-1.66%"
"Aug 05, 2021","101.0602","101.0602","101.0602","101.0602","-","3.16%"
"Aug 04, 2021","97.9616","97.9616","97.9616","97.9616","-","2.39%"
"Aug 03, 2021","95.6782","95.6782","95.6782","95.6782","-","1.03%"
"Aug 02, 2021","94.7071","94.7071","94.7071","94.7071","-","-0.18%"
"Aug 01, 2021","94.8755","94.8755","94.8755","94.8755","-","0.69%"
"Jul 31, 2021","94.2279","94.2279","94.2279","94.2279","-","-0.07%"
"Jul 30, 2021","94.2959","94.2959","94.2959","94.2959","-","-3.26%"
"Jul 29, 2021","97.4753","97.4753","97.4753","97.4753","-","-1.24%"
"Jul 28, 2021","98.6992","98.6992","98.6992","98.6992","-","7.11%"
"Jul 27, 2021","92.1460","92.1460","92.1460","92.1460","-","-0.30%"
"Jul 26, 2021","92.4192","92.4192","92.4192","92.4192","-","3.70%"
"Jul 25, 2021","89.1211","89.1211","89.1211","89.1211","-","1.38%"
"Jul 24, 2021","87.9099","87.9099","87.9099","87.9099","-","0.65%"
"Jul 23, 2021","87.3419","87.3419","87.3419","87.3419","-","-3.92%"
"Jul 22, 2021","90.9095","90.9095","90.9095","90.9095","-","-2.47%"
"Jul 21, 2021","93.2136","93.2136","93.2136","93.2136","-","-1.88%"
"Jul 20, 2021","95.0007","95.0007","95.0007","95.0007","-","4.86%"
"Jul 19, 2021","90.5990","90.5990","90.5990","90.5990","-","3.80%"
"Jul 18, 2021","87.2846","87.2846","87.2846","87.2846","-","0.11%"
"Jul 17, 2021","87.1862","87.1862","87.1862","87.1862","-","-0.84%"
"Jul 16, 2021","87.9262","87.9262","87.9262","87.9262","-","-2.25%"
"Jul 15, 2021","89.9544","89.9544","89.9544","89.9544","-","-2.41%"
"Jul 14, 2021","92.1760","92.1760","92.1760","92.1760","-","-0.14%"
"Jul 13, 2021","92.3061","92.3061","92.3061","92.3061","-","0.28%"
"Jul 12, 2021","92.0527","92.0527","92.0527","92.0527","-","0.13%"
"Jul 11, 2021","91.9351","91.9351","91.9351","91.9351","-","-1.29%"
"Jul 10, 2021","93.1332","93.1332","93.1332","93.1332","-","-1.58%"
"Jul 09, 2021","94.6256","94.6256","94.6256","94.6256","-","-3.28%"
"Jul 08, 2021","97.8396","97.8396","97.8396","97.8396","-","0.40%"
"Jul 07, 2021","97.4479","97.4479","97.4479","97.4479","-","-0.76%"
"Jul 06, 2021","98.1919","98.1919","98.1919","98.1919","-","0.01%"
"Jul 05, 2021","98.1810","98.1810","98.1810","98.1810","-","-1.16%"
"Jul 04, 2021","99.3374","99.3374","99.3374","99.3374","-","-1.59%"
"Jul 03, 2021","100.9436","100.9436","100.9436","100.9436","-","-2.29%"
"Jul 02, 2021","103.3117","103.3117","103.3117","103.3117","-","-3.09%"
"Jul 01, 2021","106.6011","106.6011","106.6011","106.6011","-","0.12%"
"Jun 30, 2021","106.4787","106.4787","106.4787","106.4787","-","2.90%"
"Jun 29, 2021","103.4811","103.4811","103.4811","103.4811","-","-3.71%"
"Jun 28, 2021","107.4701","107.4701","107.4701","107.4701","-","-0.07%"
"Jun 27, 2021","107.5424","107.5424","107.5424","107.5424","-","-1.82%"
"Jun 26, 2021","109.5310","109.5310","109.5310","109.5310","-","3.41%"
"Jun 25, 2021","105.9223","105.9223","105.9223","105.9223","-","0.96%"
"Jun 24, 2021","104.9151","104.9151","104.9151","104.9151","-","-1.75%"
"Jun 23, 2021","106.7856","106.7856","106.7856","106.7856","-","-5.80%"
"Jun 22, 2021","113.3644","113.3644","113.3644","113.3644","-","5.12%"
"Jun 21, 2021","107.8430","107.8430","107.8430","107.8430","-","9.38%"
"Jun 20, 2021","98.5916","98.5916","98.5916","98.5916","-","3.77%"
"Jun 19, 2021","95.0129","95.0129","95.0129","95.0129","-","-4.82%"
"Jun 18, 2021","99.8192","99.8192","99.8192","99.8192","-","2.67%"
"Jun 17, 2021","97.2236","97.2236","97.2236","97.2236","-","-2.01%"
"Jun 16, 2021","99.2163","99.2163","99.2163","99.2163","-","-1.57%"
"Jun 15, 2021","100.7957","100.7957","100.7957","100.7957","-","-3.98%"
"Jun 14, 2021","104.9686","104.9686","104.9686","104.9686","-","-0.82%"
"Jun 13, 2021","105.8321","105.8321","105.8321","105.8321","-","1.07%"
"Jun 12, 2021","104.7095","104.7095","104.7095","104.7095","-","1.09%"
"Jun 11, 2021","103.5760","103.5760","103.5760","103.5760","-","-3.70%"
"Jun 10, 2021","107.5573","107.5573","107.5573","107.5573","-","-7.25%"
"Jun 09, 2021","115.9592","115.9592","115.9592","115.9592","-","-6.58%"
"Jun 08, 2021","124.1288","124.1288","124.1288","124.1288","-","10.07%"
"Jun 07, 2021","112.7685","112.7685","112.7685","112.7685","-","-2.36%"
"Jun 06, 2021","115.4939","115.4939","115.4939","115.4939","-","-0.36%"
"Jun 05, 2021","115.9166","115.9166","115.9166","115.9166","-","2.03%"
"Jun 04, 2021","113.6140","113.6140","113.6140","113.6140","-","1.29%"
"Jun 03, 2021","112.1679","112.1679","112.1679","112.1679","-","-4.33%"
"Jun 02, 2021","117.2484","117.2484","117.2484","117.2484","-","-2.61%"
"Jun 01, 2021","120.3921","120.3921","120.3921","120.3921","-","-1.17%"
"May 31, 2021","121.8227","121.8227","121.8227","121.8227","-","-10.71%"
"May 30, 2021","136.4407","136.4407","136.4407","136.4407","-","-3.26%"
"May 29, 2021","141.0390","141.0390","141.0390","141.0390","-","1.84%"
"May 28, 2021","138.4891","138.4891","138.4891","138.4891","-","9.00%"
"May 27, 2021","127.0510","127.0510","127.0510","127.0510","-","-6.46%"
"May 26, 2021","135.8308","135.8308","135.8308","135.8308","-","-4.40%"
"May 25, 2021","142.0761","142.0761","142.0761","142.0761","-","-1.77%"
"May 24, 2021","144.6406","144.6406","144.6406","144.6406","-","-14.00%"
"May 23, 2021","168.1786","168.1786","168.1786","168.1786","-","7.61%"
"May 22, 2021","156.2869","156.2869","156.2869","156.2869","-","-1.35%"
"May 21, 2021","158.4231","158.4231","158.4231","158.4231","-","9.18%"
"May 20, 2021","145.1078","145.1078","145.1078","145.1078","-","8.15%"
"May 19, 2021","134.1699","134.1699","134.1699","134.1699","-","11.39%"
"May 18, 2021","120.4476","120.4476","120.4476","120.4476","-","-5.66%"
"May 17, 2021","127.6786","127.6786","127.6786","127.6786","-","12.70%"
"May 16, 2021","113.2868","113.2868","113.2868","113.2868","-","3.72%"
"May 15, 2021","109.2272","109.2272","109.2272","109.2272","-","4.73%"
"May 14, 2021","104.2905","104.2905","104.2905","104.2905","-","1.08%"
"May 13, 2021","103.1770","103.1770","103.1770","103.1770","-","1.20%"
"May 12, 2021","101.9581","101.9581","101.9581","101.9581","-","3.37%"
"May 11, 2021","98.6340","98.6340","98.6340","98.6340","-","-0.46%"
"May 10, 2021","99.0925","99.0925","99.0925","99.0925","-","3.77%"
"May 09, 2021","95.4919","95.4919","95.4919","95.4919","-","4.30%"
